,Objname,ObsSMA,ObsEcc,ObsSin(Inc),Obs_h,PropSMA,PropEcc,PropSin(Inc),Prop_h,0_2PE_a,0_2PE_e,0_2PE_sinI,0_2PE_h,1_3PE_a,1_3PE_e,1_3PE_sinI,1_3PE_h,2_4PE_a,2_4PE_e,2_4PE_sinI,2_4PE_h,3_5PE_a,3_5PE_e,3_5PE_sinI,3_5PE_h,4_6PE_a,4_6PE_e,4_6PE_sinI,4_6PE_h,5_7PE_a,5_7PE_e,5_7PE_sinI,5_7PE_h,6_8PE_a,6_8PE_e,6_8PE_sinI,6_8PE_h,7_9PE_a,7_9PE_e,7_9PE_sinI,7_9PE_h,8_10PE_a,8_10PE_e,8_10PE_sinI,8_10PE_h,RMS_err_a,RMS_err_e,RMS_err_sinI,RMS_err_h,Delta_a,Delta_e,Delta_sinI,Delta_h
0,1,2.7634369506098593,0.11795663339489129,0.1687855896645746,1.650172669193889,2.7634369506098593,0.11483289812841697,0.16750655316887303,1.8089052688730614,2.763401124463546,0.11434103479722935,0.1677059083188037,1.8088562080245785,2.76343105466524,0.1148277719925389,0.16763488461582493,1.8087908652113358,2.7634668566586034,0.11463893314886113,0.16763893795529178,1.808836563413504,2.7634620384190884,0.11496378977604997,0.16767560217120275,1.8087609152767732,2.7634444627062593,0.11446530229523987,0.16760876231985966,1.8088727726263933,2.763423891206439,0.11518589720814437,0.167681902213725,1.8087120476400054,2.763435464465389,0.11466897785848462,0.1676579028591274,1.8088161181596683,2.763446679293625,0.11429496349500234,0.1676446560895314,1.8088985748551283,2.7634365426039587,0.11545021811665575,0.16769257418175193,1.8086559218630318,1.875587859857882e-05,0.00037324007615125034,0.00015637977053291008,0.00012893176814839354,2.990604874408831e-05,0.0006173199882387737,0.0001993551499306634,-6.694017933073226e-06
1,2,2.7670803178931465,0.2874698586632864,0.5465511329538635,1.5839001556555792,2.767080317893146,0.28024040696836255,0.5459918298210665,1.5071515012910157,2.7669814632114274,0.28127941379936655,0.5463099310370103,1.5063689093976624,2.767121726177216,0.2803450612891897,0.5461075808309211,1.5070071635691893,2.7672219731102907,0.27934538174638035,0.5460150114745148,1.5074819595698088,2.767188757337875,0.2805490813599025,0.5464143541398994,1.5065419263330093,2.767143838452546,0.28049366416411997,0.5461960358235108,1.5067733893333115,2.7672919071710593,0.2796144252737283,0.5462103191960532,1.5071398566001957,2.7671548638495422,0.28046698611075255,0.5464868097215636,1.506432625038455,2.7668494652170317,0.2805576188380471,0.5462924942523627,1.506533623177233,2.7668996978602847,0.2799772094864461,0.5463158276883205,1.5068028473983546,0.00014282496893212271,0.0005440653996084322,0.0003024836795364644,0.0005030228591198586,0.0002115892779133155,0.0010390068310039968,0.0004949799004970723,0.00033045827879307765
2,3,2.665864162716106,0.23583215412512207,0.23003868273274344,1.5858872270827291,2.6658641627161055,0.23355842537958063,0.2290975514720203,1.7327262024452545,2.6658186774252166,0.2334279682843734,0.2292125267480055,1.7326316767406882,2.6658274382696887,0.23323105867092758,0.22921554772467606,1.732705806987358,2.6658275895139503,0.23327278184008987,0.2292232493234295,1.7326859376566408,2.6658610345279596,0.2332946453187284,0.22924219442727758,1.7326821777546786,2.6658854105611116,0.23313922626857525,0.22926203946915208,1.7327298761305152,2.6658678330034373,0.23338288349997593,0.22928792241640694,1.7326330214646077,2.665879785423736,0.2331141144390773,0.22926627910337596,1.7327366118829253,2.6659129414291276,0.23344534738330358,0.22923391983285688,1.7326404188899895,2.66591063964251,0.2332089333064732,0.2292099627453069,1.7327353955341251,3.335575875839346e-05,0.00030078537349948446,0.00014409217710752677,5.691942536623311e-05,4.8778713022112896e-05,-0.00011307799627705006,0.00019037094438664748,1.0409437670722e-05
3,4,2.3583914430147352,0.10296950130886164,0.11369552857506833,1.5269206107948166,2.3583914430147344,0.09821860668143018,0.11129993954257274,1.7307770112877712,2.3583929631322555,0.09942985679681922,0.11208273482638897,1.7303362327655112,2.3583912572039227,0.09827588578607022,0.11225264903611665,1.730487697730535,2.358391473729657,0.09872049300372976,0.11197792477481332,1.73046649483174,2.358392373882349,0.09905142409772684,0.11176151616544662,1.730448211206367,2.35838917607754,0.09756834658824072,0.11176545384554681,1.7306743220774177,2.358391633585862,0.09820909834869362,0.11210456351401099,1.7305239519084914,2.358393725529803,0.09872936216240945,0.11230165574428652,1.7304033683779934,2.358388938427021,0.09765791870430442,0.11214230350892451,1.7305979365986448,2.358390120601905,0.09860588135968733,0.1118528758146424,1.7304986937317421,1.5498986633214123e-06,0.0006292883908657723,0.0007510004447856501,0.00029930281150166344,2.282515068507962e-06,0.0012112501153890426,0.0010017162017137843,-0.00010268921035350154
4,6,2.4220662919946925,0.16410563367233927,0.2497230189741321,1.5330568724752995,2.4220662919946916,0.1582336060164948,0.2485749201549537,1.6947515511636049,2.4220635286379877,0.15353555631605834,0.24814371639227584,1.6956707408938887,2.4220659769084136,0.15628598027439555,0.2481555258062832,1.694872741056836,2.4220687121651836,0.15061619254083322,0.24841785478670886,1.696234626279454,2.4220652040722364,0.15497896980365072,0.24875908599423605,1.6948075148292103,2.42206530782768,0.14824171227536867,0.24893699506807743,1.696415976080671,2.4220661546725393,0.15253398092677975,0.24932264564513404,1.6950718296421146,2.422069797331653,0.1473243913820759,0.24953139720125747,1.6962399178148022,2.422070099782186,0.15131391630450663,0.24974165878673799,1.6951637397551675,2.422063593898993,0.14751857329567597,0.2497461303790933,1.6960901677653073,2.3530126176077145e-06,0.007516731149107771,0.0007271303800570175,0.0010599873280013445,3.8077874942032963e-06,-0.0019476257420992515,0.0011712102241396016,0.0016644249170660874
5,7,2.382912187126274,0.21400412316403714,0.11227257789582022,1.5072124957827904,2.3829121871262737,0.2113311996995746,0.1101367358001541,1.7094106976946783,2.3829387155923056,0.2115456669774265,0.1116657401385497,1.708974631108679,2.3829310214887394,0.21034405707299755,0.11066835598126709,1.7095257899160685,2.3829309107762366,0.21100222680429542,0.11098408586028324,1.709241688814578,2.3829402624024345,0.21251296158560248,0.11186007931769454,1.7086148945931352,2.382861232624181,0.21254269100001616,0.1114028114556787,1.7086504442183745,2.382801339024703,0.21111821063999722,0.11030911202431594,1.7092857755000412,2.382955097525114,0.2101482001104503,0.10948454937471047,1.7097833920299808,2.382984189586886,0.20991827288078635,0.10950608968868653,1.7098500741679614,2.3828752040388097,0.20957901728932538,0.1091055116920496,1.710018759301773,5.3202294484272284e-05,0.001080344596877542,0.0010449633288831545,0.0004899602522015633,7.200246061245252e-05,0.0012114913004415695,0.0017233435175404432,0.0006080616070947009
6,8,2.1985316813927644,0.1566292576186228,0.10300168978139292,1.4627910886821829,2.198531681392764,0.1479770689721294,0.09978941146176332,1.686463674554033,2.1985255910970487,0.1417790514112708,0.09899273409501749,1.6874715288772661,2.1985196006399916,0.14226844501171854,0.09897532117963835,1.6874106481520124,2.1985252992382973,0.1434466484687328,0.09949384603017375,1.687108279318508,2.198532846152133,0.14485950527028252,0.10046723772768251,1.6866713649375278,2.1985380447476963,0.1456676401926251,0.1014060455975985,1.686282994296803,2.198536704212327,0.14734503612532723,0.10214630243894422,1.6857645936018115,2.1985267690984758,0.14965892347845589,0.10265697674500969,1.6852540240757903,2.198539070618279,0.14925908943647406,0.10297128181206999,1.6852878489854644,2.198541335229176,0.1468625184802983,0.10295869349693862,1.6858853784286962,7.170725193329137e-06,0.003538598015474606,0.00206570580865088,0.0008214341062917031,9.653836412049088e-06,0.0016818545063264911,0.003181870350306676,0.0010078543232332482
7,9,2.383281990755514,0.13059816623396434,0.0847515081829646,1.5299980920584204,2.383281990755514,0.12736864681320903,0.08171619973856233,1.7358790427023263,2.3832824662901153,0.12660438339044672,0.08243645124125014,1.7358267218595356,2.3832823322906247,0.12703036072971394,0.08240425373138194,1.7357515862206725,2.383281833022568,0.12713209616646828,0.082353692889527,1.7357369296239187,2.383281620996251,0.12774006035016897,0.08238865425126486,1.73560664077379,2.3832822652408545,0.12799711276294118,0.08247440970339316,1.7355437379980634,2.3832814862606058,0.12790024659712765,0.0825044562899204,1.7355631222499843,2.383281601861596,0.12785199368976644,0.08240680652495032,1.7355777489355766,2.383282513534722,0.12720469481481714,0.08231590426456667,1.7357268798265424,2.383281710347354,0.12709123177646156,0.0823770097396397,1.735739670399912,3.8548722625774603e-07,0.000460370819288649,0.0006928409280561012,0.00022582506830356346,5.227792083672966e-07,0.0006284659497321488,0.0007882565513580714,-5.232084279072069e-05
8,10,3.137678562155273,0.1379406982419527,0.09102031684242393,1.7539463963685595,3.137678562155273,0.1356010844758999,0.08869256448756374,1.9073671952563365,3.1376619185525603,0.13535776870042565,0.08888919231017778,1.907346981331259,3.1377546785304666,0.13533631347978423,0.08889005006376467,1.9073739626508002,3.1377012678312064,0.13557500659506444,0.08888655772162687,1.9073067671888588,3.137626637291221,0.1356443393214982,0.08890561951172479,1.9072649533331623,3.1375677272962386,0.1357711324156277,0.08886869638691294,1.9072283526687153,3.137681227712021,0.13575980088286183,0.08888118650121542,1.9072537845423736,3.1377833761423704,0.13585134538404392,0.08889240572651823,1.9072568538898496,3.137781519645248,0.13584029935856592,0.08885448356372357,1.9072644672504084,3.137679297010753,0.1357904469556151,0.08887380098152886,1.9072477404484922,6.925049468413459e-05,0.0001948437878910962,0.00019040616130739122,9.643439234611837e-05,0.00010481398709716316,0.0002502609081440066,0.00021305502416105182,6.7673944637025585e-06
9,11,2.4490128064712233,0.07856125769315865,0.07143834885265936,1.5596991027687328,2.4490128064712224,0.07456182154280276,0.06783350540020794,1.7611357400811805,2.4490131055398185,0.07502734176805072,0.06861686801828741,1.7609044179727338,2.4490129881115132,0.07498334425077993,0.06860820023044244,1.7609125490250135,2.4490130590565053,0.07435466592495954,0.06857901484014005,1.7609904801972145,2.44901255589488,0.07473016148679387,0.06852101844569225,1.760953825802607,2.449012612906239,0.0746872161314186,0.06854949257397043,1.7609542862583973,2.449012637162389,0.07444362907504684,0.06858429785326983,1.7609784316352919,2.4490126209342384,0.07508732732299007,0.06856167167299833,1.76089986168955,2.4490123811903803,0.07484676499369136,0.06857375754590009,1.760932897430875,2.4490129677231565,0.07449748303852288,0.06863607681303309,1.7609666853015078,2.4865100179446097e-07,0.0003085493046928866,0.0007483993851634983,0.00019452281098730504,2.9906859611017467e-07,0.0005255057801873131,0.000802571412825151,-0.00014525988396596468
10,12,2.33126684294846,0.17942340319462666,0.16401605794850152,1.5010518498166816,2.3312668429484593,0.17482661972896776,0.16237157795073306,1.6977987095701783,2.3313145384495475,0.17552338293503492,0.16273902294904688,1.6973374786196935,2.331354102987318,0.17354066857102224,0.16283392379692285,1.6978530193252104,2.3313453721649244,0.17538253515448246,0.16306397315484988,1.6973054004619943,2.3312716602530004,0.1738998367091012,0.163021438496401,1.6977106744092405,2.331194603620961,0.17437372090679043,0.16262165004003565,1.6976606684395592,2.331198605333406,0.17426056602843196,0.16260664348939258,1.6976966905977409,2.3312420378944494,0.1735263061761463,0.1630125324177171,1.6978020167276882,2.3312626911699583,0.17488710125495818,0.163063594265938,1.697423580878356,2.331237770312591,0.1731536088721251,0.1628072580005753,1.697931193562207,5.520855221425406e-05,0.0009618322148066715,0.0005215178198910436,0.00026967785520632797,8.726003885861644e-05,0.0006967632060671525,0.0006923952041168191,0.00013248399202869798
11,13,2.5728872289745452,0.13227455074405559,0.27726878533224747,1.5887599973223296,2.5728872289745435,0.12649837806019573,0.27633908115211736,1.723415363922676,2.5728866481412247,0.12612789852976958,0.2768037489096887,1.7231184509492818,2.5728871655599663,0.12614702800636768,0.27667487978418653,1.7231704854044958,2.5728875639179902,0.12633183006332177,0.2765235203606672,1.7232224462038936,2.5728875921466847,0.12606103764182996,0.2766602815387113,1.7232030868465358,2.5728845061768064,0.12622026480751414,0.2767718813060435,1.7231332392432939,2.572886634205995,0.12600042674754644,0.2765766028629315,1.7232665407689862,2.5728891267555767,0.12619365999683363,0.2765116983941084,1.7232622556027455,2.572886104343339,0.12601511069546592,0.27666573740550965,1.723227230361899,2.572888281640691,0.12603080945352774,0.27663395197629875,1.723236709183533,1.2617149364393008e-06,0.0003873026603702156,0.00032198114431288986,0.00021676874047956723,1.8977810332110323e-06,-0.00016654799687396138,0.0004646677575713132,-0.00014882315368969223
12,14,2.5841236287901,0.20091986439754483,0.14679651083250556,1.5740267260063159,2.5841236287900995,0.19821192109089006,0.1452962994117091,1.7523422680873675,2.5841250731559606,0.19815138215653266,0.14565075925404006,1.7521822195214896,2.5841237523242504,0.19823568229822075,0.1456453295200749,1.752155585625479,2.5841234884650746,0.19791601639450493,0.14558361949810558,1.7522790908013255,2.5841231175445363,0.19813538607248873,0.14557029723652035,1.7522019014691284,2.5841232886933705,0.19789303709707384,0.14547348256944356,1.7523143374210217,2.5841243748481175,0.19776214257287705,0.1454320925889211,1.7523620177948265,2.584123513049479,0.19812631667139516,0.1454205129694501,1.7522510816994585,2.584123234384407,0.1978402307077767,0.14536595612091036,1.7523564811513344,2.5841218291086587,0.19808150184623532,0.14540593862189133,1.7522575632779942,8.47387484955866e-07,0.0002503609637707316,0.0002326721384872777,0.00010594657371067695,1.4443658611362764e-06,2.3761207330691425e-05,0.0003544598423309564,1.9749707458993626e-05
13,15,2.6399737648902235,0.15149307513398858,0.22736368237964374,1.6053396651148342,2.6399737648902226,0.14847234896544706,0.22635262941002732,1.7544187206287314,2.64003708896426,0.14863859708843646,0.22662154047811037,1.7542179943368998,2.6400103353133213,0.14855844952412392,0.22670514523011806,1.7542013493132138,2.640026536474999,0.14844828663289314,0.2266516799405009,1.7542523287473555,2.6400255503857237,0.1489758914718373,0.2265547747527653,1.7541594259635436,2.63994597263372,0.14905347530050095,0.22653959266444434,1.7541227252454927,2.639881590633279,0.14843115070160262,0.22651216152597117,1.7542756698912267,2.6398791742639,0.14827860435631596,0.22648279550056044,1.7543195145496981,2.639889946058441,0.14815400256992178,0.22650792368655406,1.7543461440873722,2.6399807248399374,0.14816936507718764,0.22647812326728453,1.7543715066668542,6.333670088973879e-05,0.0003089896704646566,0.00022213322116210413,0.00018495538611998518,6.332407403730755e-05,0.0005811263350538887,0.000352515820090743,-4.721396187723492e-05
14,16,2.9182516867938397,0.10617810441027993,0.048928345572783576,1.6981016261359911,2.918251686793838,0.10283886664737987,0.04400455655280422,1.8689028483620373,2.9182517065485825,0.10248846104137503,0.04442894304590732,1.8688775225493737,2.9182519271491656,0.10235732795266651,0.044466404561564664,1.8688979032751636,2.9182528259660785,0.1024127931269698,0.0445528449854236,1.8688817380149485,2.9182534815313854,0.10254397642265799,0.044471137167015944,1.8688648536415333,2.918252053739963,0.10251430726613393,0.04438676569137534,1.8688732112398645,2.9182494393602907,0.10254039548209327,0.04449431478989364,1.86886042265382,2.918250015874757,0.10327738245222076,0.04450284984058408,1.8687293528948543,2.918251867661448,0.10267414523955411,0.04441647443848511,1.868843528886299,2.9182520579851907,0.10326729623542592,0.044420663042979654,1.8687389201354887,1.1890720418806954e-06,0.00036826432028035636,0.0004581107661287151,8.545651053437991e-05,1.7947375474669514e-06,0.0004385158048408888,0.0005482884326193788,-4.945086873764382e-06
15,17,2.467880410195527,0.1422967753907994,0.08788636151699698,1.5544781374091297,2.467880410195526,0.13796224288383796,0.08512706933311323,1.752831637237303,2.467860833695416,0.1377458938197622,0.08564488821209568,1.7527095300129503,2.46787451632123,0.13793837071683998,0.08554787064366491,1.752692032686468,2.4678887474109303,0.13776225539895587,0.08559301557822893,1.752717244983135,2.467888478705116,0.13800589345549683,0.08569305833019053,1.752660917913942,2.467898801390262,0.1377449364147217,0.08549504072530034,1.752732969737443,2.46789501629627,0.13803385826061415,0.08569129192451683,1.7526568085981562,2.4678760586038995,0.13783126496692652,0.08565081902465534,1.7526834309490622,2.4678800023726044,0.13808844818791055,0.08570996282631442,1.7526373008665137,2.467878653366642,0.13782005223504176,0.08571732211090366,1.7526781846621706,1.1187048355517793e-05,0.00014716929110887808,0.0005162779791887524,0.00014914945164361124,1.8391194736011585e-05,0.00012620530407259078,0.0005902527777904287,-9.866749985998347e-05
16,18,2.292613977293984,0.18288486549945812,0.17081730008800294,1.4871553469883234,2.292613977293983,0.17709752443720095,0.169173901180544,1.68673745706004,2.2926347939393885,0.17390150200712604,0.16921780199203773,1.687265441415036,2.292637626962681,0.17099074094423714,0.16839938272338228,1.688084849388132,2.292635308081136,0.17370018507363372,0.16925441064621877,1.6872878061596166,2.2926113568850237,0.17813210767435156,0.17056865984361033,1.6857413529653513,2.2925984515044346,0.17904375356580615,0.17053915861135407,1.6855238625031457,2.2926045999886613,0.1732715369887317,0.16907307961563764,1.6874663120966364,2.292604138609896,0.17170662074186274,0.16860687589590265,1.687919452424266,2.292598698543586,0.17522699083526747,0.16989179369284338,1.6866893811572234,2.292596780779885,0.17756711610190742,0.17093077810656648,1.685917200481266,1.6362058382875225e-05,0.003517051857990098,0.0009632835240961753,0.0009107766932790694,2.3649668698055848e-05,0.0019462291286052036,0.0017568769260224715,0.0013473923280920008
17,19,2.438784810622834,0.13751397625049727,0.0452584407089157,1.5463413955578942,2.438784810622834,0.13456715221331253,0.03879175337800726,1.7513006082966416,2.438783307166777,0.13445318990573887,0.03991537021482703,1.7511566649419237,2.4387825435618082,0.1344940599271486,0.0399493339117364,1.7511481538155556,2.438785021646114,0.13441862451860098,0.03994701786063562,1.7511618505013251,2.438788853601211,0.13445227733668358,0.03994868902517815,1.7511588392009347,2.438785691458914,0.13435282802682277,0.03991561840947602,1.7511760175762803,2.4387814416720133,0.13443091631095094,0.03995739832231285,1.7511610460231426,2.4387859858736385,0.13436401901856607,0.039924757786515386,1.7511704160465291,2.4387878410703467,0.1344680846540041,0.0400122020606742,1.7511509868559125,2.438783173862454,0.1343729591568052,0.03998293721583096,1.7511625349143913,2.3371317593378685e-06,0.00015160991631988163,0.001159001354707717,0.0001401251792009311,4.042978376972428e-06,-7.309228616392272e-05,0.0012204486826669358,-0.00012459072036130614
18,20,2.405453004203946,0.16442292381021542,0.035774560767778116,1.529295696293878,2.4054530042039457,0.16175743231790526,0.02484096287548393,1.7379018674992974,2.4054710036314813,0.1617087695004515,0.026597673574856845,1.7377707223390326,2.4054733323306374,0.1614568457377925,0.02666463490208162,1.7378325208099559,2.405471932745859,0.16210890988165186,0.02663086427345651,1.7376675858213162,2.405458291307991,0.16223132540606847,0.026651177782681806,1.7376329040047502,2.40543572957201,0.16158657766904644,0.02664861580452801,1.7377903577183549,2.4054287764353735,0.16155027543359451,0.02674487514275759,1.7377949476679555,2.405434115299771,0.16224139546905816,0.02669645469652684,1.737621668187387,2.405443769175857,0.16217135335367602,0.026715024727514646,1.7376414344218813,2.405452300748786,0.1614843505020995,0.02669709531916666,1.7378177023948622,1.650395328714055e-05,0.00033217489004332986,0.0018313660223885752,0.00019047437010799372,2.0328126691726567e-05,0.0004839631511528997,0.0019039122672736587,-6.934668934155397e-05
