,Name,obs_ecc,obs_sinI,calc_sinI,calc_ecc,ast_sinI,ast_ecc,ecc_diff
520,529,0.0741590689018204,-0.2890741945673322,0.1744307469287187,0.0741578503507605,0.175336,0.0741577,1.5035076050828877e-07
139,141,0.1719772966520932,0.1756916630002523,0.2238990910234317,0.1719707752946643,0.2241065,0.1719692,1.5752946643243781e-06
142,144,0.1901463171196868,-0.3689234110208113,0.0671370975110548,0.1901461020759867,0.0668982,0.1901445,1.6020759867063639e-06
496,504,0.1740115976079931,-0.1553477710557576,0.2096322208430525,0.1740114803081872,0.2098187,0.1740238,1.2319691812812117e-05
1575,1629,0.1712072076078989,-0.1916022904283787,0.1732939008807641,0.1711712101862886,0.1675118,0.1711879,1.6689813711390222e-05
1430,1476,0.1479174631308813,0.1501621035804404,0.1141479015043726,0.1479025982453274,0.1143958,0.1478843,1.829824532739721e-05
1651,1709,0.1693262705283922,0.3370389264770356,0.1438717944687269,0.1693170232383732,0.1441401,0.1692954,2.1623238373180698e-05
657,670,0.1578154105563171,0.3609908720276064,0.1239477028375718,0.1578148861492286,0.1239751,0.1578387,2.3813850771409184e-05
219,221,0.0738657708527475,-0.2371494841828859,0.171812866619945,0.0738655310571202,0.1722516,0.0738376,2.7931057120192393e-05
1361,1403,0.2552203027555974,0.19543012533432,0.1530137687991475,0.255217070083488,0.1530977,0.2552492,3.212991651202479e-05
238,241,0.0694740356097797,0.2515793371892753,0.1173586135134853,0.0694743058611648,0.1173026,0.0694415,3.2805861164802996e-05
73,74,0.1995269033599452,-0.4419989896549827,0.074540485519022,0.199525174219302,0.074136,0.19957,4.482578069800458e-05
1066,1090,0.2155610764782055,0.2799342215747241,0.3468085648870762,0.2154861383365987,0.3462438,0.2154302,5.5938336598698735e-05
457,464,0.1586509478772174,0.0021796850505315,0.1618946152753369,0.1586507791948546,0.1618719,0.1587117,6.092080514541465e-05
1899,1982,0.2022406448583255,0.1093546074344184,0.1117685859242852,0.202226651894225,0.1126839,0.2022941,6.74481057749976e-05
261,264,0.1042470053552021,-0.0804439039483237,0.1652098157032379,0.1042464191624136,0.1652234,0.104175,7.141916241359958e-05
999,1021,0.2461387173040852,-0.0217262399299314,0.2709276738589696,0.2461316621834679,0.2714879,0.2462034,7.173781653208033e-05
1478,1525,0.2209062524975354,0.3919098886626164,0.1276642162779398,0.2209034245228351,0.1279166,0.2209864,8.297547716490383e-05
1533,1584,0.2555481366588355,0.0477185494681886,0.4297862849238387,0.2555332741758511,0.4289787,0.2556215,8.822582414891311e-05