,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,ecc_diff
26,47171,0.220544672516732,0.0864323449795107,0.1114682388725932,0.2205368016265289,0.0862406,0.2371771,0.025227638872593203
882,2013 FZ27,0.270487989447115,-0.0391205823864552,0.2399949625558907,0.2700931987406079,0.2658345,0.1960171,0.025839537444109273
1078,2014 QM441,0.2347281868462317,-0.0774161020688152,0.3143025577969657,0.2342209704803453,0.2881852,0.2704375,0.026117357796965723
909,2013 GT136,0.1477383291398799,-0.0253058964934931,0.1404780101848353,0.1477272697190196,0.1667955,0.1300628,0.026317489815164713
847,2012 HZ84,0.2088259886975688,0.0297171480827336,0.1585754974694732,0.2087740653289734,0.1322527,0.2004354,0.02632279746947319
767,2010 TT191,0.8277050685565887,0.181273237926793,0.1176646592265077,0.4095639342573214,0.0909811,0.0681444,0.02668355922650771
819,2011 UT412,0.1770674956723674,-0.2726689394212446,0.29781724855317,0.1748265886433461,0.3247227,0.1736855,0.026905451446829987
878,2013 FD28,0.372005284229793,-0.0019207119124416,0.167145064201523,0.3691687356856829,0.1398512,0.1724122,0.027293864201522994
374,2000 ST331,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0478162,0.0809923,0.027461416458956
1055,2014 MD70,0.2476376445568212,0.2542059675306529,0.1482422193295257,0.2475928285045483,0.1757778,0.2562127,0.02753558067047432
1044,2014 KX101,0.2202095193130581,0.0238008371589167,0.0900626282008384,0.2202029118869728,0.0618144,0.2341546,0.028248228200838395
832,2011 VJ24,0.3132751964599997,0.0394215452670196,0.1799593117230376,0.3081002304935503,0.1516964,0.1838519,0.028262911723037604
72,119069,0.8435039139104399,0.6567999725347977,0.0512289326576219,0.2865834886851013,0.0228824,0.2447353,0.0283465326576219
971,2013 TM159,0.1884914061819261,-0.0245030457385823,0.1609787975823393,0.1883681078526519,0.132175,0.1650286,0.028803797582339308
148,307463,0.9408238842894358,-0.0818646017570387,0.0277831964554427,0.1852322265906006,0.0568142,0.2155614,0.0290310035445573
77,119979,0.2593809904701142,0.4756636140555675,0.1323628947393076,0.2593469922851121,0.1614408,0.2204738,0.0290779052606924
727,2008 LC18,0.6104521353796739,0.0789148539255374,0.4682237774585156,0.5855367943886182,0.4382791,0.0814907,0.029944677458515645
120,168703,0.0717632681064941,0.0903087172268463,0.2117773628235389,0.0717629751664292,0.1808538,0.0865191,0.03092356282353889
658,2005 GC187,0.1165299720117687,0.3793372113569404,0.0333083229203732,0.1165187450014692,0.0643483,0.1261,0.031039977079626795
303,1999 KR18,0.1709586758893226,0.0332571419596036,0.1155233060145176,0.1709566741067913,0.0841946,0.1867628,0.03132870601451761
235,486958,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0438023,0.0392222,0.031475316458956
85,126719,0.2177410559707944,-0.1275008361979104,0.0824290005481904,0.2177345644508568,0.0509376,0.1895627,0.0314914005481904
315,1999 RR215,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.042145,0.1016231,0.033132616458956
205,469420,0.1819043290713766,-0.0613748442104755,0.1244993049168045,0.1817634359825319,0.157874,0.1584099,0.03337469508319549
742,2010 JK124,0.3667528647195126,-0.1586804195775596,0.2596733976085141,0.3635430758209755,0.2954954,0.0433475,0.03582200239148592
288,1999 CP153,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0390663,0.082193,0.036211316458956005
339,2000 FB8,0.8218307906886185,0.0315755449356577,0.0590311532859418,0.3144779384007322,0.0952681,0.2920878,0.036236946714058194
290,1999 CS153,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0381005,0.0365664,0.037177116458956
791,2011 UC411,0.7996627776078303,-0.5932550459935501,0.0812030172213007,0.3809587604940079,0.1196853,0.2662185,0.03848228277869929
921,2013 HS156,0.1649900104500285,0.1382290998634145,0.1126121830581451,0.1649850051915189,0.1514642,0.1915022,0.03885201694185489
793,2011 UD411,0.6904225264757469,-0.2051811169256439,0.2964777181917627,0.6639359449727522,0.2571653,0.2727586,0.03931241819176273
677,2005 SD278,0.2219278194275806,0.069062234495811,0.3248227579414452,0.2218933547138489,0.2846933,0.280923,0.040129457941445235
378,2000 WN183,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0348931,0.1161792,0.040384516458956
1172,2015 FW392,0.0909979284387838,0.0397067040062083,0.048000400287809,0.0909923976530562,0.0891077,0.1677115,0.041107299712191
826,2011 UX411,0.0952290155503338,-0.0511854609384283,0.0903470901341333,0.0952289658531168,0.1319033,0.1135491,0.041556209865866695
849,2012 KW51,0.2412595121800091,-0.4262769601077168,0.1843825930498203,0.2412469141193227,0.2261546,0.1687971,0.04177200695017971
174,385695,0.91940547758074,-0.5287497462903464,0.0482808422976226,0.2431833196090707,0.0061758,0.0509543,0.042105042297622595
236,487581,0.0568498347823658,-0.4581052110994406,0.4013430644448085,0.0566373133700529,0.3591947,0.1816898,0.04214836444480852
681,2005 TN74,0.2249554965665681,0.3077712668485388,0.0623016851263192,0.2248511810445025,0.1050987,0.2210415,0.0427970148736808
597,2004 MS8,0.4841293146222937,-0.0423838140539012,0.2780902838222487,0.4798284538407217,0.2332294,0.3020854,0.044860883822248704
787,2011 UA411,0.2552135659649249,-0.1050562965836195,0.145424813409893,0.2551397719891239,0.1907863,0.2323148,0.045361486590107
1013,2014 GE54,0.2451398798878109,-0.2005844357835417,0.2770337618985031,0.2451310872398066,0.2311975,0.2930887,0.045836261898503095
105,143685,0.2355102554274935,-0.163531823359997,0.0997679458014074,0.2354503969709636,0.1456141,0.2271579,0.0458461541985926
683,2005 VA123,0.2486273497158861,0.6039313706730299,0.0239390700521771,0.2485987310191999,0.0706154,0.2368176,0.04667632994782289
735,2009 JZ18,0.3965869902650238,0.029076094352017,0.3387563607883004,0.3776104806755291,0.386276,0.2643948,0.047519639211699605
284,1999 CM119,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0277356,0.1053224,0.047542016458956005
1146,2014 YJ50,0.6752767295653344,0.1752699767342961,0.0545894508813983,0.5004651608284907,0.1026734,0.2053713,0.0480839491186017
444,2002 CE251,0.7084566016467368,-0.4753526260834038,0.1202030855988477,0.6260772367079226,0.168489,0.2749297,0.048285914401152305
945,2013 JO65,0.1304913006623541,-0.128214265784876,0.1302754217792094,0.1304881581501082,0.1792662,0.073971,0.04899077822079059
388,2000 YZ1,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.1252855,0.1634236,0.05000788354104399
212,469584,0.1495159374522986,0.7392567242593536,0.0179863133507405,0.149511898048956,0.0679988,0.1378033,0.0500124866492595
71,119067,0.5133657350405386,0.2440958488937044,0.1043143819457431,0.4899756613768725,0.0542265,0.1570544,0.05008788194574311
1121,2014 WN509,0.1303045982665151,0.1645810656345259,0.1045968391719353,0.1302312762107383,0.1584387,0.0622585,0.05384186082806469
932,2013 JE65,0.2730022340560835,0.3408684416882947,0.1284230110419263,0.2729223394175983,0.1823638,0.2382031,0.05394078895807369
317,1999 RV214,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0209344,0.0332094,0.054343216458956005
396,2001 FL193,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0190624,0.1925925,0.056215216458956004
1014,2014 GF54,0.1849186202123538,-0.0486746145002525,0.2258473942561676,0.1847291949035729,0.1691146,0.1914499,0.05673279425616759
445,2002 CP154,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.018303,0.1904283,0.056974616458956004
911,2013 GU136,0.2610102018453835,0.1108920435552092,0.1704956731188494,0.2469939157566301,0.1120596,0.1626536,0.058436073118849394
1037,2014 JT80,0.6770516110115419,0.3142079745478456,0.1608818997690754,0.4939352292292416,0.2199719,0.22899,0.05909000023092459
857,2012 UC178,0.1598770622461261,0.0261783330373713,0.136517388071075,0.1571863784293449,0.0743432,0.1581143,0.062174188071075
655,2005 EX318,0.7858679736457536,0.6348559515220019,0.0324059411357491,0.425311159784785,0.0959338,0.2112202,0.0635278588642509
435,2001 SE291,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0113871,0.1370681,0.063890516458956
363,2000 PL30,0.3856547528633546,-0.029162821398588,0.1247174418296005,0.3847269958156176,0.1895123,0.19242,0.0647948581703995
292,1999 CW131,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.1406751,0.0975806,0.065397483541044
850,2012 OL6,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.1410439,0.2871525,0.065766283541044
1083,2014 QY441,0.0852914273846574,0.0074041244667948,0.1648808898002912,0.0852873538587423,0.0987715,0.0853628,0.0661093898002912
778,2011 HE103,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.1434755,0.0825923,0.068197883541044
1001,2014 DU143,0.1589327828231663,0.0657412605253632,0.2677602859493102,0.1587412435164375,0.1981777,0.1381565,0.06958258594931016
656,2005 EZ300,0.4253088394522715,0.0431620411156643,0.1343958896711133,0.4245290025422811,0.2048647,0.222122,0.07046881032888672
475,2002 PU170,0.6207733908291957,0.0087184683532301,0.1260207964557941,0.5492110920769494,0.0546199,0.2183624,0.07140089645579409
603,2004 OQ15,0.1422234156620531,-0.0157451157262752,0.1107452655563415,0.1421311996475236,0.1823368,0.0483083,0.0715915344436585
30,50000,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.1489571,0.0409982,0.073679483541044
1170,2015 FR345,0.1346427720370636,-0.2168356443017839,0.2072341184405755,0.1346414575747155,0.2835388,0.1417832,0.07630468155942449
774,2010 VX224,0.2717651017596684,-0.058586764379473,0.3275894311130106,0.2729992816440971,0.2496409,0.1229325,0.07794853111301059
1004,2014 FB62,0.814735188173438,0.6926464866909019,0.03658883316965,0.3648654350399279,0.1150812,0.1803391,0.07849236683034999
203,469362,0.6865556594911527,0.0979430040309101,0.2557490202091161,0.5754722396398986,0.3369501,0.2502063,0.08120107979088387
1117,2014 WG510,0.4955390853370749,0.0551818050678042,0.1954308184647218,0.4123437588346287,0.2773303,0.2380629,0.08189948153527818
320,1999 RW215,0.1640003506831869,-0.0390012280653748,0.3080008813335765,0.1638405144054003,0.2166263,0.1465258,0.09137458133357651
123,175113,0.0765928506667,0.0457654056654814,0.2315390736580255,0.0765919587004787,0.1387097,0.0734528,0.09282937365802552
219,470308,0.1814129108091972,0.0436612713423621,0.1536330762382934,0.1835517917335502,0.2489981,0.1586164,0.09536502376170661
1107,2014 UT224,0.2586431495218756,0.1428331375657842,0.0437266810399243,0.2586430081371967,0.1395375,0.2282197,0.0958108189600757
745,2010 LP68,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.1719431,0.0791796,0.09666548354104398
566,2004 EP95,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.1754161,0.0163739,0.10013848354104399
20,33340,0.6876385139608215,-0.1398455425500269,0.1439889615054954,0.5054544736257999,0.0351244,0.2501451,0.1088645615054954
565,2004 EJ96,0.5253516147308306,0.1509774296831723,0.2769987850722326,0.4763423683290227,0.1661452,0.235936,0.11085358507223259
667,2005 JK186,0.4710218701103538,-0.0719748590270351,0.306423789272357,0.4405111461992331,0.4390234,0.2447528,0.13259961072764304
1090,2014 ST349,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.2139743,0.1632244,0.138696683541044
761,2010 TJ182,0.713163204447417,0.2480911646565641,0.0458606316226038,0.6861131389195791,0.1878117,0.2697092,0.14195106837739618
780,2011 HM102,0.5275297263326706,-0.1110111590731973,0.3053247277700926,0.3579528273017064,0.4669929,0.0883492,0.16166817222990737
94,134340,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.2745174,0.2434529,0.19923978354104402
1127,2014 WQ510,0.65604660420522,-0.4849942078723426,0.191591379034691,0.4971023740723636,0.4072657,0.1193097,0.215674320965309
1079,2014 QO441,0.9836147994421168,0.5484856514653255,0.0417328546199298,0.1998144789992255,0.2935429,0.1042867,0.2518100453800702
897,2013 GK137,0.3568355191649785,0.0198625480954048,0.3343507924485338,0.3550231678809849,0.0812211,0.1997285,0.2531296924485338
680,2005 TN53,0.7730056067880089,-0.234827107137017,0.1677861828118415,0.4928937968462683,0.4283161,0.0575823,0.2605299171881585
194,450265,0.6513545749533846,0.0663099589336844,0.4160752370142529,0.5650653912961092,0.0840828,0.2537549,0.3319924370142529
736,2009 KL30,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.4119336,0.2129203,0.336655983541044
1174,2015 GP50,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.4238159,0.2724344,0.348538283541044
1005,2014 FF72,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.4826234,0.2660678,0.407345783541044
973,2013 UJ15,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.5365358,0.2867686,0.461258183541044
